avg_rating,rating_1,rating_2,rating_3,rating_4,rating_5,sentence
-1.4,-3.0,-2.0,-1.0,-1.0,0.0,Why are you wasting your time wondering who to be with .
-0.6,-3.0,-1.0,0.0,0.0,1.0,Go to Yahoo and type in Yahoo toolbar .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,Well they ' re are laws for this country .
-1.6,-3.0,-2.0,-1.0,-1.0,-1.0,still have some time to grow up .
1.4,1.0,1.0,1.0,2.0,2.0,"For the exercise , consider it a priority to include it into your routine ."
-1.8,-3.0,-3.0,-2.0,-2.0,1.0,its a jeep !
-2.2,-3.0,-2.0,-2.0,-2.0,-2.0,"as possible , as the dialogue will certainly make you squirm in your seat ."
-2.0,-3.0,-3.0,-3.0,-2.0,1.0,I REALLY DONT KNOW SORRY ! ! ! ! !
0.0,-2.0,-1.0,0.0,1.0,2.0,Find a practice workbook .
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,"We ten started talking online a lot , then the phone ."
-1.6,-3.0,-3.0,-2.0,0.0,0.0,"Who created him , you grandfather ."
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,Then do n't do that !
-0.2,-1.0,-1.0,0.0,0.0,1.0,"Now , a 7 month old cat is still a kitten and growing ."
1.4,1.0,1.0,1.0,2.0,2.0,And the companies usually pay for ads on a `` per impression '' basis .
-1.6,-2.0,-2.0,-2.0,-1.0,-1.0,"to me its just a game of luck , not much skill need to play"
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,I guess I feel really sorry for him .
0.0,-2.0,-1.0,1.0,1.0,1.0,It happens all the time .
0.6,-1.0,-1.0,1.0,2.0,2.0,You would be cited for driving without a license .
-2.6,-3.0,-3.0,-3.0,-3.0,-1.0,do n't you think she ' ll know already now ?
0.0,-1.0,-1.0,0.0,1.0,1.0,it 's the start of a conversation that will be revealing none the less .
-0.8,-2.0,-2.0,-1.0,-1.0,2.0,I would like to be in Disney Land !
-1.4,-2.0,-2.0,-2.0,-1.0,0.0,"christians also have imaginary brains , they ' re brains are invisible too"
1.2,1.0,1.0,1.0,1.0,2.0,The green leaf eventually turns brown and decays .
0.8,0.0,0.0,1.0,1.0,2.0,There you will see all your questions listed .
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,Grow up and then it will be serious and you can talk about it
-1.0,-3.0,-2.0,-1.0,-1.0,2.0,for me this is a violation waiting to happen
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,Vitamins are just GREAT !
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,ur 13 & have an avater that make u look 40 ?
-0.2,-2.0,0.0,0.0,0.0,1.0,current is the flow of charge .
-0.4,-2.0,-1.0,0.0,0.0,1.0,You ' ve made some friends tonight
0.6,0.0,0.0,0.0,1.0,2.0,Which society are you talking about ?
-2.8,-3.0,-3.0,-3.0,-3.0,-2.0,If that do n't work steal from them .
0.0,-1.0,-1.0,-1.0,1.0,2.0,Maybe it will help .
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,Murphy : What ?
0.2,-2.0,-2.0,1.0,2.0,2.0,In men the infection is usually due obstruction to urine eg .
1.6,1.0,1.0,1.0,2.0,3.0,Linda Healy was the first fatality .
1.0,0.0,1.0,1.0,1.0,2.0,Mankind will once again enjoy the earthly paradise .
2.4,1.0,2.0,3.0,3.0,3.0,"If these goals are not achieved , pharmacotherapy can be offered ."
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,Best of luck to you
1.6,0.0,1.0,1.0,3.0,3.0,It had a chief and a council who made decisions for the Cherokee Nation .
-1.4,-3.0,-3.0,-2.0,-1.0,2.0,"in 3 weeks , they take him to the hospital ."
0.0,-2.0,-1.0,1.0,1.0,1.0,The `` cure '' is usually blood thinners .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,You a little confused ? ? ?
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,for me it 's 80 's and 90 's .
-0.6,-2.0,-1.0,-1.0,0.0,1.0,Unless a war is won within a year the public wo n't accept it .
-1.8,-3.0,-3.0,-2.0,-2.0,1.0,Check out my blog .
-2.8,-3.0,-3.0,-3.0,-3.0,-2.0,What a fu * cking animal she is .
-1.8,-3.0,-3.0,-3.0,-1.0,1.0,only if its a boy but if it is a girl shemna
1.0,0.0,0.0,0.0,2.0,3.0,A medical or pharmaceutical researcher .
-1.6,-3.0,-2.0,-1.0,-1.0,-1.0,Talk in complete sentences - sounds funny but it works .
-1.2,-2.0,-2.0,-1.0,-1.0,0.0,Where did you check your connection speed ?
-0.2,-2.0,-1.0,0.0,0.0,2.0,Dogs do have feelings .
-0.2,-3.0,0.0,0.0,0.0,2.0,the slave trade of the US
-0.4,-3.0,-1.0,-1.0,1.0,2.0,The first challenge is to do a tabletop ( square ) off the kicker .
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,I hope they did n't kill him off ! ! !
-0.2,-3.0,0.0,0.0,1.0,1.0,if you see some point them out .
-0.4,-3.0,-2.0,0.0,0.0,3.0,I am the maha jiva atman the world has awaited .
1.6,1.0,1.0,1.0,2.0,3.0,"The book is spiral bound , and it is priceless ."
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,I think there could be but men do not like that they always wo n't more
0.0,-3.0,-3.0,1.0,2.0,3.0,-------------------------------------------------------------------------------- The cell is the smallest unit of biological organisation that biologists consider alive .
-1.2,-2.0,-2.0,-1.0,-1.0,0.0,Looking back on it I had a terrific childhood and teen years .
-0.6,-2.0,-1.0,-1.0,0.0,1.0,My brother did one and signed up for the `` Promo '' offers .
-2.0,-3.0,-3.0,-2.0,-2.0,0.0,this is very important !
2.0,1.0,1.0,2.0,3.0,3.0,Applicants must obtain an application for the year in which they wish to apply .
1.4,0.0,1.0,1.0,2.0,3.0,You will get a three day notice to pay or quit .
0.2,-2.0,-2.0,1.0,2.0,2.0,Those who are open to illumination .
0.6,-2.0,0.0,1.0,2.0,2.0,Use a canny collar and possibly a muzzle initially .
-0.8,-3.0,-1.0,-1.0,0.0,1.0,Then you go to the tree stump .
-1.8,-3.0,-3.0,-2.0,-2.0,1.0,Its hard to think that he only want it for money ?
0.2,-2.0,-1.0,1.0,1.0,2.0,They have no standard .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,"No , there was n't ."
0.8,0.0,0.0,1.0,1.0,2.0,Juliana became queen of the Netherlands .
-0.4,-1.0,-1.0,-1.0,0.0,1.0,We can only live it with His help .
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,But working on a hangover sucks .
0.8,-2.0,1.0,1.0,2.0,2.0,"As they are not human , they have no rights ."
-0.6,-2.0,-1.0,-1.0,-1.0,2.0,Possible ideas ... Baby clothes ; Diapers ; wash cloths ; Baby powder .
-0.2,-3.0,-2.0,1.0,1.0,2.0,You will be able to see who the gifted one are .
1.6,1.0,1.0,2.0,2.0,2.0,Taking antibiotics is sometimes the best course of action .
0.2,-2.0,0.0,0.0,1.0,2.0,They will keep the tank clean for you .
2.0,1.0,1.0,2.0,3.0,3.0,This course considers connections between punishment and politics in the contemporary United States .
1.8,1.0,1.0,2.0,2.0,3.0,Everything is final on the day the Judge signed the decree .
1.8,0.0,1.0,2.0,3.0,3.0,Here 's a listing of Canadian universities http://www.uwaterloo.ca/canu/ .
0.0,-2.0,-1.0,-1.0,1.0,3.0,Also run HijackThis and submit a log to one of the major antispyware communities
1.4,0.0,0.0,2.0,2.0,3.0,The circle around the star symbolizes unity and wholeness .
2.0,1.0,2.0,2.0,2.0,3.0,Earth is the only planet known to have life .
1.4,0.0,1.0,2.0,2.0,2.0,"Once logged in , you will see all your Yahoo ! account information ."
-1.8,-3.0,-3.0,-2.0,-1.0,0.0,I WILL PRAY FOR HER
-1.8,-3.0,-3.0,-2.0,-1.0,0.0,Tell yourself ( very powerful ! ! )
-2.0,-3.0,-3.0,-3.0,-2.0,1.0,it totally rocks !
-0.4,-2.0,-1.0,-1.0,0.0,2.0,Just remeber to listen to the instructions what your dentist will give you .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,tell him repeatedly that big boys sleep in their own beds .
-1.0,-3.0,-2.0,-1.0,0.0,1.0,Agree with her .
-1.4,-3.0,-3.0,-1.0,-1.0,1.0,Yoga just seems like its just breathing exercises for pregnant women !
-1.2,-3.0,-2.0,-2.0,-1.0,2.0,"driving with an overly rich engine can cause damage , slowly but definitley ."
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,Nice try though .
0.6,-1.0,-1.0,1.0,2.0,2.0,And it had all these different storys but they all connected some how .
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,Hickory dickory dock ! !
-1.0,-2.0,-1.0,-1.0,-1.0,0.0,yes defending the race pays very well .
0.8,-3.0,1.0,1.0,2.0,3.0,How much domestic violence is attributed to marijuana abuse ?
1.8,1.0,1.0,2.0,2.0,3.0,Fleas may also serve as vectors for cat - scratch and other zoonotic diseases .
-2.8,-3.0,-3.0,-3.0,-3.0,-2.0,can you just tell me who the hell fireater is ?
-0.6,-2.0,-1.0,-1.0,-1.0,2.0,Mine both sat up around six months and crawled around nine months .
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,they are called `` mommy '' now
-1.0,-2.0,-2.0,-2.0,0.0,1.0,Who is General Failure and why is he reading my hard disk ?
-0.4,-3.0,-1.0,-1.0,1.0,2.0,Push them together hard .
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,I chose somethin ' else .
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,"that would offend me , then i woulnt b much of a guest"
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,if he treats u right
-1.6,-3.0,-2.0,-1.0,-1.0,-1.0,it 's not the end of the world ... it 's hard at times .
1.0,-1.0,0.0,2.0,2.0,2.0,To a point i agree .
0.6,-1.0,0.0,1.0,1.0,2.0,DLL is : Dynamic library link it 's a windows system file .
1.0,-1.0,1.0,1.0,2.0,2.0,Install Super Antispyware .
2.0,1.0,1.0,2.0,3.0,3.0,Other Bible scholars believe that this may have been a copyist error .
-0.6,-2.0,-2.0,-1.0,0.0,2.0,wear either boots or ballet flats .
-2.8,-3.0,-3.0,-3.0,-3.0,-2.0,he he he ... well ... whatever .
2.4,1.0,2.0,3.0,3.0,3.0,DNA is thought to have originated approximately 3.5 to 4.6 billion years ago .
-0.2,-2.0,-1.0,0.0,1.0,1.0,I got that bad in my first pregnancy .
-1.8,-3.0,-3.0,-3.0,0.0,0.0,"Metallica , WASP , Dio , Iron Maiden , Judas Priest"
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,"no , I tough it out ."
-0.8,-2.0,-2.0,-2.0,1.0,1.0,"Season 3 will definitely not air until 2007 , though ."
-1.0,-3.0,-2.0,-1.0,0.0,1.0,"yes , it sounds like a completely dead battery ."
0.0,-1.0,-1.0,0.0,1.0,1.0,You have a leak somewhere .
-0.6,-2.0,-2.0,0.0,0.0,1.0,Is it fast enough ?
0.0,-1.0,-1.0,0.0,1.0,1.0,I ' m sure your friend will understand one dance .
-1.4,-3.0,-3.0,-1.0,-1.0,1.0,They actually believe that we care what they have to moan and groan about .
-1.6,-3.0,-2.0,-1.0,-1.0,-1.0,What can I say ?
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,u comin to my house < 3
0.4,-1.0,-1.0,1.0,1.0,2.0,Maybe you should have listed 10-20 a day .
1.4,-1.0,0.0,2.0,3.0,3.0,not all boards will support Registered RAM .
-0.8,-3.0,-1.0,-1.0,0.0,1.0,"In time , it will be ok ."
-2.0,-3.0,-2.0,-2.0,-2.0,-1.0,"Set aside until bubbly , about 10 minutes ."
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,i ca n't .
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,during the argument probably .
-2.0,-3.0,-2.0,-2.0,-2.0,-1.0,i hate those things
-0.8,-2.0,-1.0,-1.0,-1.0,1.0,No need to complicate things further .
0.4,-3.0,0.0,1.0,2.0,2.0,It kills 3 out of the 4 stages of the flea life cycle .
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,my friend is going as an emo .
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,Wich is according to the exersise is not true .
0.6,-2.0,0.0,1.0,1.0,3.0,With smaller portions they definitely could have been stretched to about a hundred .
-1.4,-3.0,-3.0,-2.0,0.0,1.0,it 's one of the biggest holidays of the year .
-2.2,-3.0,-2.0,-2.0,-2.0,-2.0,ask her if she could hlep u in class .
0.8,-1.0,0.0,1.0,2.0,2.0,Third you must burn the copy .
0.0,-3.0,-1.0,1.0,1.0,2.0,Cockatiels are usually quite and when they actually do sing its not too annoying .
-0.6,-3.0,-1.0,0.0,0.0,1.0,No airport in Ayodhya .
-1.0,-3.0,-3.0,-1.0,1.0,1.0,I forgot about that one !
-1.0,-3.0,-1.0,-1.0,0.0,0.0,but reduce it and get exercise .
-0.8,-2.0,-2.0,-1.0,0.0,1.0,"Anyway , in whatever case , it is up to you ."
0.0,-3.0,-1.0,1.0,1.0,2.0,So in that respect I think it is harmless .
0.6,-2.0,0.0,1.0,1.0,3.0,I wish there was any easy answer .
-1.4,-3.0,-2.0,-2.0,-1.0,1.0,Because the air is thinner .
-1.2,-2.0,-2.0,-2.0,-1.0,1.0,"Actually , this perp is just the sort who should be locked up permanently ."
-1.6,-3.0,-3.0,-2.0,0.0,0.0,Stale McDonald 's French fries .
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,take a fork and stick it at da ends .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,"try EB games , they have tons of used games"
0.6,-2.0,-1.0,1.0,2.0,3.0,They are some of the largest job boards where you can upload your resume .
-1.0,-2.0,-1.0,-1.0,-1.0,0.0,the rise of a new world
0.2,-1.0,-1.0,0.0,1.0,2.0,Maybe that will help give you a good idea of what you can obtain !
-0.4,-2.0,-1.0,0.0,0.0,1.0,3 ) To name one would be to say that there is a best .
1.8,1.0,1.0,2.0,2.0,3.0,Today 's youth is denoted by energy - abundant and enormous energy .
0.8,-1.0,1.0,1.0,1.0,2.0,Reward him when he goes out side .
-1.0,-2.0,-2.0,-2.0,0.0,1.0,looks like you are going have to give it a little time .
1.2,-2.0,1.0,2.0,2.0,3.0,"In addition , the disease was more frequently fatal than it is today ."
0.0,-2.0,0.0,0.0,0.0,2.0,Bake covered in oven when almost cooked add sauce and remove foil .
-0.2,-3.0,-1.0,-1.0,1.0,3.0,why do n't you get her a potted Hibiscus !
-0.6,-2.0,-1.0,-1.0,-1.0,2.0,"Nothing , celebrate when it 's been a year"
1.8,0.0,2.0,2.0,2.0,3.0,Mitosis is the even division of DNA into two daughter cells .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,"that tells me `` I ca n't , and I wo n't '' ."
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,she actually used her head for once .
-1.2,-3.0,-2.0,-2.0,0.0,1.0,Then I got the phone bill .
-1.6,-3.0,-2.0,-2.0,-2.0,1.0,"sure , people are inspired by all kinds of things ."
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,`` Tricky Dicky was Here . ''
0.4,-2.0,-1.0,1.0,2.0,2.0,"If you ' re wearing closed toe shoes , then wear pantyhose ."
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,he 's doing good so far
-1.0,-3.0,-2.0,-2.0,1.0,1.0,"Second , do you really want to be with someone so CARELESS ?"
-0.6,-2.0,-1.0,0.0,0.0,0.0,Clerks 2 is in color .
0.6,-1.0,0.0,1.0,1.0,2.0,The autograph copy of Scripture is without flaw .
0.0,-2.0,-1.0,0.0,1.0,2.0,I promise she will call if and when she needs you .
-1.0,-2.0,-2.0,-1.0,-1.0,1.0,"There 's nothing wrong with a profit , but THIS is ridiculous !"
-0.4,-2.0,-1.0,-1.0,0.0,2.0,But I had a lot of fun doing health education in an inner - city school .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,give him a blow job he wo n't forget .
-1.4,-2.0,-2.0,-2.0,-1.0,0.0,i smoke a pack of cigarettes in 2 or 3 days .
-0.8,-2.0,-1.0,-1.0,-1.0,1.0,i would just suggest changing the date !
-2.4,-3.0,-3.0,-2.0,-2.0,-2.0,When your too old to walk door to door .
-0.2,-2.0,-1.0,0.0,0.0,2.0,They can help you out on this .
-1.4,-3.0,-3.0,-2.0,0.0,1.0,definitely try it ... i think you will love the results .
-2.4,-3.0,-3.0,-3.0,-3.0,0.0,"As each day passes , I love u more ."
0.0,-1.0,-1.0,0.0,1.0,1.0,If it is OK then get ready for a rebuilt transmission .
-2.2,-3.0,-2.0,-2.0,-2.0,-2.0,Next time hit the back button ...
-1.4,-3.0,-2.0,-2.0,-1.0,1.0,`` Who 's The Boss ? ''
-1.4,-2.0,-2.0,-1.0,-1.0,-1.0,He makes to boot normally without errors .
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,Sure the road is gon na be rocky .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,Most of my friends are guy 's .
0.0,-2.0,-1.0,0.0,1.0,2.0,My son at the moment knows that bad attention is the best .
1.4,0.0,1.0,1.0,2.0,3.0,I hope this helps you understand how to do these problems on your own .
-1.4,-3.0,-3.0,-3.0,1.0,1.0,LOL Means laugh out loud
0.2,-1.0,0.0,0.0,1.0,1.0,Being a mother of 6 children I had to be organized .
0.8,-2.0,0.0,2.0,2.0,2.0,04/12/79 - Leach 's body is found in Suwanee St. Park in Florida .
-0.6,-3.0,-2.0,-1.0,0.0,3.0,4 cups water .
-0.6,-2.0,-1.0,0.0,0.0,0.0,The women were the farmers .
-1.2,-3.0,-2.0,-1.0,-1.0,1.0,You could put in candy corn to be more festive .
-1.2,-3.0,-2.0,-1.0,-1.0,1.0,12 years is prime anger & tantrum time .
0.6,0.0,0.0,0.0,1.0,2.0,I have many styles to suit my many moods .
-1.0,-2.0,-2.0,-1.0,-1.0,1.0,How about a nice study bible with a nice cover .
1.6,1.0,1.0,2.0,2.0,2.0,It was an extremely hostile takeover .
2.8,2.0,3.0,3.0,3.0,3.0,"However , most fishes have sensitive receptors that form the lateral line system ."
-0.2,-2.0,-1.0,0.0,0.0,2.0,George Bush 's Foreign Policy
2.0,1.0,2.0,2.0,2.0,3.0,"To get the latest edition , send e - mail to one of the addresses below ."
-1.6,-3.0,-3.0,-1.0,-1.0,0.0,I ' ll keep my fingers crossed for you !
0.6,-1.0,0.0,0.0,1.0,3.0,It should go away on its own .
-0.6,-3.0,-1.0,0.0,0.0,1.0,3 ) never leave a blank -- it looks like you were unthorough .
0.4,-2.0,-1.0,0.0,2.0,3.0,Secure each end with ribbon .
1.0,0.0,0.0,1.0,2.0,2.0,"Every time you catch yourself worrying , fix your mind on something else ."
-1.0,-2.0,-2.0,-1.0,-1.0,1.0,Chuck Norris can divide by zero .
0.4,-2.0,-1.0,0.0,2.0,3.0,Reporting in from the USA .
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,must b a full moon or smthng .
-0.2,-2.0,-1.0,0.0,1.0,1.0,Do n't ask them to pay for it .
-1.2,-3.0,-2.0,-2.0,-1.0,2.0,Interior vs exterior fix ?
-1.4,-3.0,-2.0,-1.0,-1.0,0.0,Arrears are just that .
-0.2,-1.0,0.0,0.0,0.0,0.0,Satan tempting Jesus in the desert .
-0.6,-2.0,-2.0,-1.0,0.0,2.0,Uncheck the program .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,try asking jedi master yoda
-2.4,-3.0,-3.0,-3.0,-3.0,0.0,TO bad men are n't as sensitive .
-0.6,-3.0,-1.0,0.0,0.0,1.0,You ' re the best customer she has !
-0.4,-2.0,-1.0,0.0,0.0,1.0,"One , flirting is harmless and healthy ."
-1.2,-3.0,-2.0,-1.0,-1.0,1.0,You sound like such a nice woman taking care of all this .
-0.4,-3.0,-1.0,0.0,1.0,1.0,"Many , many honest people have left Yahoo Answers in disgust over this problem ."
0.0,-2.0,-1.0,0.0,1.0,2.0,You are not wasting your teacher 's time .
-2.0,-3.0,-3.0,-3.0,-1.0,0.0,He has a dream your going to be wealthy ?
-2.2,-3.0,-3.0,-2.0,-2.0,-1.0,"Nope , not OK to feed your dog cat food ."
-1.0,-3.0,-2.0,-1.0,0.0,1.0,And not do anything .
-1.4,-3.0,-2.0,-2.0,-1.0,1.0,Just give me a chance .
-0.8,-2.0,-1.0,-1.0,-1.0,1.0,"If you go below that , they can sue you ."
-1.0,-3.0,-2.0,-1.0,0.0,1.0,I think in your heart you know the real risks and possible rewards .
-1.4,-3.0,-2.0,-2.0,-1.0,1.0,I think I saw you .
-1.2,-3.0,-2.0,-2.0,0.0,1.0,We started every morning with it .
-1.2,-3.0,-1.0,-1.0,-1.0,0.0,Then go sit on the porch and wait for them .
-1.6,-3.0,-2.0,-2.0,-1.0,0.0,Skate down the crane and jump off the kicker at the end .
0.8,0.0,0.0,1.0,1.0,2.0,In what context ?
-0.4,-2.0,-1.0,-1.0,1.0,1.0,I spent time and money seeking a messages from them and it never happened .
0.6,-2.0,-1.0,0.0,3.0,3.0,That 's almost 2 months average wage .
-0.6,-2.0,-1.0,-1.0,0.0,1.0,"Leave it alone , see a dermatologist ."
-1.0,-2.0,-2.0,-1.0,0.0,0.0,and have her wear it on the day of the shower .
-1.4,-3.0,-3.0,-2.0,0.0,1.0,I do n't personally feel threatened at all - I ' m over child - bearing age .
0.2,-1.0,0.0,0.0,1.0,1.0,"Add a bit of crushed rosemary , salt & pepper to make a rub ."
0.8,-1.0,1.0,1.0,1.0,2.0,"serve with lemon wedges , sea salt and melted butter ."
0.8,-1.0,-1.0,1.0,2.0,3.0,What medical billing services do you offer ?
1.8,1.0,1.0,2.0,2.0,3.0,"Correction , according to this source M stars are the most common ."
-1.6,-3.0,-3.0,-2.0,-1.0,1.0,That should be his mother and father .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,The trees are running you about $ 125 a peice .
1.0,-1.0,0.0,0.0,3.0,3.0,"Some people would agree , others might disagree ."
-1.8,-3.0,-3.0,-2.0,-1.0,0.0,"yes , every night before he goes to sleep ."
-0.6,-3.0,-3.0,0.0,1.0,2.0,She ' ll need it .
-2.4,-3.0,-3.0,-3.0,-2.0,-1.0,saying something stupid ... .
-1.4,-3.0,-2.0,-2.0,0.0,0.0,I saw a big fire breathing lizard .
-1.6,-3.0,-2.0,-1.0,-1.0,-1.0,"Also , as a kid I had lesbian rabbits !"
-1.4,-3.0,-2.0,-1.0,-1.0,0.0,Why should i do my makeup ?
0.2,-3.0,-1.0,0.0,2.0,3.0,Wicca has a very serious problem of intellectual haves and have nots .
-0.4,-2.0,-2.0,0.0,0.0,2.0,He and his administration just make me sick .
0.4,-2.0,0.0,1.0,1.0,2.0,Has your friend tried going to a veterinary teaching hospital ?
-1.2,-3.0,-1.0,-1.0,-1.0,0.0,Where is the singles and dating question ?
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,take her to the vet do not trust these people on here u cheap person
0.8,-1.0,1.0,1.0,1.0,2.0,I like the way I look and so do a lot of others .
-2.6,-3.0,-3.0,-3.0,-3.0,-1.0,Got to a really nice restaurant
0.4,-2.0,-1.0,1.0,1.0,3.0,I think you have your answer by the others who came here before me .
-1.6,-3.0,-2.0,-2.0,-1.0,0.0,Every cat I have ever had `` fixed '' seemed to gain weight .
-0.6,-2.0,-1.0,-1.0,0.0,1.0,But I will just get them one by one .
-1.6,-3.0,-3.0,-1.0,-1.0,0.0,It was awesome !
0.0,-1.0,0.0,0.0,0.0,1.0,Most are made of an aluminum alloy .
-1.8,-3.0,-2.0,-2.0,-1.0,-1.0,"Boxer 's either Joe Boxer , or George Foreman"
0.0,-2.0,-2.0,1.0,1.0,2.0,All of these definitely believe in God .
1.0,-1.0,1.0,1.0,1.0,3.0,A year round water supply is very beneficial .
-1.8,-3.0,-3.0,-2.0,-1.0,0.0,quite useful for pwr point presentation .
-1.0,-2.0,-1.0,-1.0,-1.0,0.0,you can request one too .
-1.0,-2.0,-2.0,-2.0,0.0,1.0,do n't treat them as if they are criminals .
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,fergie plus she sings fergalicous
-0.4,-2.0,-2.0,0.0,1.0,1.0,I ' ll give you my name and address .
0.2,-1.0,-1.0,0.0,1.0,2.0,Also remember that there are ups and downs for business .
-1.2,-2.0,-2.0,-2.0,-1.0,1.0,"Well , the Greys were not part of Montauk ."
1.8,1.0,2.0,2.0,2.0,2.0,ID badges must be worn to receive contact visiting .
-0.6,-2.0,-2.0,-1.0,1.0,1.0,You are asleep in a freezing time capsule right now .
2.2,1.0,2.0,2.0,3.0,3.0,It possesses a tenuous atmosphere of carbon dioxide .
0.4,-1.0,-1.0,0.0,2.0,2.0,We stayed outside of the world .
-1.0,-3.0,-1.0,-1.0,-1.0,1.0,you need to take the cat to a vet .
-1.0,-2.0,-2.0,-2.0,0.0,1.0,Try circuit city or Best Buy .
-1.6,-2.0,-2.0,-2.0,-1.0,-1.0,Euros were worth 90 us cents for the euro back then .
-2.0,-3.0,-2.0,-2.0,-2.0,-1.0,"AEC , I must know ."
1.2,0.0,1.0,1.0,2.0,2.0,Test is using another PC to ensure it is not your sound card .
-0.6,-3.0,-1.0,-1.0,0.0,2.0,"They probably do , but I do n't think they should ."
-2.0,-3.0,-3.0,-2.0,-1.0,-1.0,"Whatever you do , do n't dye it dark ."
0.2,-1.0,-1.0,-1.0,1.0,3.0,God Bless and Good luck
-2.6,-3.0,-3.0,-3.0,-2.0,-2.0,Read this or check out the website ... up to you ... A .
-1.2,-3.0,-2.0,-2.0,0.0,1.0,Do you know what moneyball is ?
0.8,-1.0,1.0,1.0,1.0,2.0,"There might be some additional tests for your MOS , as well ."
